Scan Number,RAW File,Total Ion Current,Total Number of Peaks,Number of Channels,Frequency,Collision Energy,Retention Time (s),Mass Ranges,Precursor Intensity,Scan Description,AGC,Micro Scan Count,Ion Injection Time (ms),Elapsed Scan Time (sec),Activation Type,Mass Analyzer Type,Detector Type,Base Peak Mass,Average Scan by Inst,Orbitrap Resolution,API Process Delay,Dependency Type,Multi Inject Info,Base Peak Intensity,Master Scan Number,Monoisotopic M/Z,Charge State,HCD Energy,HCD Energy eV,MS2 Isolation Width,Access ID,Conversion Parameter I,Conversion Parameter A,Conversion Parameter B,Conversion Parameter C,Conversion Parameter D,Conversion Parameter E,Temperature Comp. (ppm),RF Comp. (ppm),Space Charge Comp. (ppm),Resolution Comp. (ppm),Number of LM Found,LM Correction (ppm),RawOvFtT,Injection t0,Reagent Ion Injection Time (ms),FAIMS Voltage On,FAIMS CV
17989,UP 1,27164.938,1008,0,0.0,27.0,42.510023,100.0-1315.0,nan,FTMS + p NSI d Full ms2 635.3285@hcd27.00 [100.0000-1315.0000],On,1,80.000,N/A,HigherEnergyCollisionalDissociation,MassAnalyzerFTMS,Any,305.7062627,N/A,N/A,N/A,N/A,IT=80 ,8867.584,N/A,635.3285,2,27.00,30.877,1.60,N/A,N/A,N/A,211753736.3936,76394370.2081,N/A,N/A,-2.60,-0.08,-0.01,-0.01,0,N/A,11794.2,0.000,N/A,N/A,N/A
17990,UP 1,28339.57,996,0,0.0,27.0,42.512234,100.0-1565.0,nan,FTMS + p NSI d Full ms2 758.9066@hcd27.00 [100.0000-1565.0000],On,1,80.000,N/A,HigherEnergyCollisionalDissociation,MassAnalyzerFTMS,Any,305.6969651,N/A,N/A,N/A,N/A,IT=80 ,7142.186,N/A,758.9066,2,27.00,36.883,1.60,N/A,N/A,N/A,211753737.1654,76394370.7639,N/A,N/A,-2.60,-0.08,-0.01,-0.01,0,N/A,9026.9,0.000,N/A,N/A,N/A
17991,UP 1,14418.633,804,0,0.0,27.0,42.514063,100.0-1325.0,nan,FTMS + p NSI d Full ms2 640.3631@hcd27.00 [100.0000-1325.0000],On,1,80.000,N/A,HigherEnergyCollisionalDissociation,MassAnalyzerFTMS,Any,305.7152414,N/A,N/A,N/A,N/A,IT=80 ,6362.7539,N/A,640.3631,2,27.00,31.122,1.60,N/A,N/A,N/A,211753737.5360,76394371.0294,N/A,N/A,-2.60,-0.08,-0.01,-0.01,0,N/A,7697.9,0.000,N/A,N/A,N/A
17993,UP 1,19892.781,848,0,0.0,27.0,42.518069,100.0-1580.0,nan,FTMS + p NSI d Full ms2 509.9551@hcd27.00 [100.0000-1580.0000],On,1,80.000,N/A,HigherEnergyCollisionalDissociation,MassAnalyzerFTMS,Any,305.719851,N/A,N/A,N/A,N/A,IT=80 ,8881.6387,N/A,509.9551,3,27.00,23.407,1.60,N/A,N/A,N/A,211753737.2439,76394370.8130,N/A,N/A,-2.60,-0.08,-0.01,-0.01,0,N/A,8745.5,0.000,N/A,N/A,N/A
17994,UP 1,22061.062,896,0,0.0,27.0,42.519923,100.0-1500.0,nan,FTMS + p NSI d Full ms2 725.9040@hcd27.00 [100.0000-1500.0000],On,1,80.000,N/A,HigherEnergyCollisionalDissociation,MassAnalyzerFTMS,Any,305.7030762,N/A,N/A,N/A,N/A,IT=80 ,9774.04,N/A,0.0000,2,27.00,35.279,1.60,N/A,N/A,N/A,211753736.9284,76394370.5986,N/A,N/A,-2.60,-0.08,-0.01,-0.01,0,N/A,9876.8,0.000,N/A,N/A,N/A
17995,UP 1,19864.516,904,0,0.0,27.0,42.521769,100.0-1455.0,nan,FTMS + p NSI d Full ms2 703.8585@hcd27.00 [100.0000-1455.0000],On,1,80.000,N/A,HigherEnergyCollisionalDissociation,MassAnalyzerFTMS,Any,305.7207672,N/A,N/A,N/A,N/A,IT=80 ,5612.6079,N/A,703.8584,2,27.00,34.208,1.60,N/A,N/A,N/A,211753736.8183,76394370.5139,N/A,N/A,-2.60,-0.08,-0.01,-0.01,0,N/A,10271.4,0.000,N/A,N/A,N/A
17996,UP 1,22791.402,1048,0,0.0,27.0,42.523582,100.0-865.0,nan,FTMS + p NSI d Full ms2 415.2812@hcd27.00 [100.0000-865.0000],On,1,80.000,N/A,HigherEnergyCollisionalDissociation,MassAnalyzerFTMS,Any,305.7097127,N/A,N/A,N/A,N/A,IT=80 ,6081.3433,N/A,415.2812,2,27.00,20.183,1.60,N/A,N/A,N/A,211753737.4463,76394370.9589,N/A,N/A,-2.60,-0.08,-0.01,-0.01,0,N/A,8019.7,0.000,N/A,N/A,N/A
17998,UP 1,13674.406,752,0,0.0,27.0,42.527607,100.0-1585.0,nan,FTMS + p NSI d Full ms2 767.8694@hcd27.00 [100.0000-1585.0000],On,1,80.000,N/A,HigherEnergyCollisionalDissociation,MassAnalyzerFTMS,Any,305.7015505,N/A,N/A,N/A,N/A,IT=80 ,6718.4951,N/A,767.8694,2,27.00,37.318,1.60,N/A,N/A,N/A,211753737.8860,76394371.2874,N/A,N/A,-2.60,-0.08,0.00,-0.01,0,N/A,6442.9,0.000,N/A,N/A,N/A
17999,UP 1,27643.18,1056,0,0.0,27.0,42.52944,100.0-995.0,nan,FTMS + p NSI d Full ms2 479.2721@hcd27.00 [100.0000-995.0000],On,1,80.000,N/A,HigherEnergyCollisionalDissociation,MassAnalyzerFTMS,Any,305.7173367,N/A,N/A,N/A,N/A,IT=80 ,7939.9775,N/A,479.2721,2,27.00,23.293,1.60,N/A,N/A,N/A,211753737.3909,76394370.9250,N/A,N/A,-2.60,-0.08,-0.01,-0.01,0,N/A,8218.2,0.000,N/A,N/A,N/A
18000,UP 1,31456.078,1192,0,0.0,27.0,42.531267,100.0-1300.0,nan,FTMS + p NSI d Full ms2 626.8069@hcd27.00 [100.0000-1300.0000],On,1,80.000,N/A,HigherEnergyCollisionalDissociation,MassAnalyzerFTMS,Any,305.7034138,N/A,N/A,N/A,N/A,IT=80 ,5818.0581,N/A,0.0000,2,27.00,30.463,1.60,N/A,N/A,N/A,211753736.7505,76394370.4616,N/A,N/A,-2.60,-0.08,-0.01,-0.01,0,N/A,10514.7,0.000,N/A,N/A,N/A
18003,UP 1,28054.219,1044,0,0.0,27.0,42.539492,100.0-1860.0,nan,FTMS + p NSI d Full ms2 902.9797@hcd27.00 [100.0000-1860.0000],On,1,80.000,N/A,HigherEnergyCollisionalDissociation,MassAnalyzerFTMS,Any,305.7003618,N/A,N/A,N/A,N/A,IT=80 ,9084.127,N/A,902.9797,2,27.00,43.885,1.60,N/A,N/A,N/A,211753736.8650,76394370.5481,N/A,N/A,-2.60,-0.08,-0.01,-0.01,0,N/A,10103.8,0.000,N/A,N/A,N/A
18004,UP 1,23407.75,996,0,0.0,27.0,42.541321,100.0-2145.0,nan,FTMS + p NSI d Full ms2 694.0035@hcd27.00 [100.0000-2145.0000],On,1,80.000,N/A,HigherEnergyCollisionalDissociation,MassAnalyzerFTMS,Any,305.7123906,N/A,N/A,N/A,N/A,IT=80 ,6001.0635,N/A,0.0000,3,27.00,31.855,1.60,N/A,N/A,N/A,211753737.5036,76394371.0107,N/A,N/A,-2.60,-0.08,-0.01,-0.01,0,N/A,7814.3,0.000,N/A,N/A,N/A
18007,UP 1,22536.773,896,0,0.0,27.0,42.549552,100.0-1540.0,nan,FTMS + p NSI d Full ms2 744.9059@hcd27.00 [100.0000-1540.0000],On,1,80.000,N/A,HigherEnergyCollisionalDissociation,MassAnalyzerFTMS,Any,305.7297939,N/A,N/A,N/A,N/A,IT=80 ,7145.9424,N/A,744.9059,2,27.00,36.202,1.60,N/A,N/A,N/A,211753737.1162,76394370.7288,N/A,N/A,-2.60,-0.08,-0.01,-0.01,0,N/A,9203.3,0.000,N/A,N/A,N/A
