Scan Number,RAW File,Total Ion Current,Total Number of Peaks,Number of Channels,Frequency,Collision Energy,Retention Time (min),Mass Ranges,Precursor Intensity,Scan Description,AGC,Micro Scan Count,Ion Injection Time (ms),Elapsed Scan Time (sec),Activation Type,Mass Analyzer Type,Detector Type,Base Peak Mass,Average Scan by Inst,Orbitrap Resolution,API Process Delay,Dependency Type,Multi Inject Info,Base Peak Intensity,Master Scan Number,Monoisotopic M/Z,Charge State,HCD Energy,HCD Energy eV,MS2 Isolation Width,Access ID,Conversion Parameter I,Conversion Parameter A,Conversion Parameter B,Conversion Parameter C,Conversion Parameter D,Conversion Parameter E,Temperature Comp. (ppm),RF Comp. (ppm),Space Charge Comp. (ppm),Resolution Comp. (ppm),Number of LM Found,LM Correction (ppm),RawOvFtT,Injection t0,Reagent Ion Injection Time (ms),FAIMS Voltage On,FAIMS CV
2,Ref 1,729774.25,3828,0,0.0,27.0,0.007142525,100.0-865.0,nan,FTMS + p NSI d Full ms2 414.7145@hcd27.00 [100.0000-865.0000],On,1,80.000,N/A,HigherEnergyCollisionalDissociation,MassAnalyzerFTMS,Any,110.0714516,N/A,N/A,N/A,N/A,IT=80 ,175921.73,N/A,414.7145,2,27.00,20.155,1.60,N/A,N/A,N/A,211753954.6854,70201684.6024,N/A,N/A,-4.79,-0.08,-0.05,0.04,0,N/A,82223.8,0.000,N/A,N/A,N/A
3,Ref 1,37464.598,1308,0,0.0,27.0,0.0089590878,100.0-855.0,nan,FTMS + p NSI d Full ms2 410.7358@hcd27.00 [100.0000-855.0000],On,1,80.000,N/A,HigherEnergyCollisionalDissociation,MassAnalyzerFTMS,Any,175.1182253,N/A,N/A,N/A,N/A,IT=80 ,6629.8613,N/A,410.7359,2,27.00,19.962,1.60,N/A,N/A,N/A,211753972.1864,70201696.1986,N/A,N/A,-4.79,-0.08,-0.01,0.04,0,N/A,8896.7,0.000,N/A,N/A,N/A
14,Ref 1,39833.352,1208,0,0.0,27.0,0.051096373,100.0-940.0,nan,FTMS + p NSI d Full ms2 452.2356@hcd27.00 [100.0000-940.0000],On,1,80.000,N/A,HigherEnergyCollisionalDissociation,MassAnalyzerFTMS,Any,129.1020687,N/A,N/A,N/A,N/A,IT=80 ,5940.9077,N/A,452.2356,2,27.00,21.979,1.60,N/A,N/A,N/A,211753971.8680,70201695.9925,N/A,N/A,-4.79,-0.08,-0.01,0.04,0,N/A,10230.8,0.000,N/A,N/A,N/A
21,Ref 1,32589.523,1128,0,0.0,27.0,0.075077372,100.0-985.0,nan,FTMS + p NSI d Full ms2 472.2813@hcd27.00 [100.0000-985.0000],On,1,80.000,N/A,HigherEnergyCollisionalDissociation,MassAnalyzerFTMS,Any,147.1120248,N/A,N/A,N/A,N/A,IT=80 ,4898.8613,N/A,0.0000,2,27.00,22.953,1.60,N/A,N/A,N/A,211753972.0211,70201696.0952,N/A,N/A,-4.79,-0.08,-0.01,0.04,0,N/A,9589.3,0.000,N/A,N/A,N/A
115,Ref 1,56141.789,1120,0,0.0,27.0,0.44998739,100.0-1175.0,nan,FTMS + p NSI d Full ms2 566.8881@hcd27.00 [100.0000-1175.0000],On,1,80.000,N/A,HigherEnergyCollisionalDissociation,MassAnalyzerFTMS,Any,226.9517453,N/A,N/A,N/A,N/A,IT=80 ,24510.498,N/A,0.0000,2,27.00,27.551,1.60,N/A,N/A,N/A,211753971.0469,70201695.4429,N/A,N/A,-4.79,-0.08,-0.01,0.04,0,N/A,13671.3,0.000,N/A,N/A,N/A
131,Ref 1,675655.38,2908,0,0.0,27.0,0.51102447,100.0-865.0,nan,FTMS + p NSI d Full ms2 414.7135@hcd27.00 [100.0000-865.0000],On,1,56.151,N/A,HigherEnergyCollisionalDissociation,MassAnalyzerFTMS,Any,110.0715207,N/A,N/A,N/A,N/A,IT=56 ,185569.12,N/A,414.7135,2,27.00,20.155,1.60,N/A,N/A,N/A,211753960.7347,70201688.6156,N/A,N/A,-4.79,-0.08,-0.03,0.04,0,N/A,56877.9,0.000,N/A,N/A,N/A
132,Ref 1,47804.688,1404,0,0.0,27.0,0.51283694,100.0-855.0,nan,FTMS + p NSI d Full ms2 410.7348@hcd27.00 [100.0000-855.0000],On,1,80.000,N/A,HigherEnergyCollisionalDissociation,MassAnalyzerFTMS,Any,175.1189497,N/A,N/A,N/A,N/A,IT=80 ,5903.2695,N/A,410.7348,2,27.00,19.962,1.60,N/A,N/A,N/A,211753971.3491,70201695.6540,N/A,N/A,-4.79,-0.08,-0.01,0.04,0,N/A,12404.9,0.000,N/A,N/A,N/A
143,Ref 1,53645.969,1212,0,0.0,27.0,0.55325126,100.0-940.0,nan,FTMS + p NSI d Full ms2 452.2352@hcd27.00 [100.0000-940.0000],On,1,80.000,N/A,HigherEnergyCollisionalDissociation,MassAnalyzerFTMS,Any,129.1021637,N/A,N/A,N/A,N/A,IT=80 ,10023.948,N/A,452.2352,2,27.00,21.979,1.60,N/A,N/A,N/A,211753971.0252,70201695.4287,N/A,N/A,-4.79,-0.08,-0.01,0.04,0,N/A,13762.3,0.000,N/A,N/A,N/A
157,Ref 1,33756.125,1196,0,0.0,27.0,0.60629049,100.0-985.0,nan,FTMS + p NSI d Full ms2 472.2810@hcd27.00 [100.0000-985.0000],On,1,80.000,N/A,HigherEnergyCollisionalDissociation,MassAnalyzerFTMS,Any,147.1127579,N/A,N/A,N/A,N/A,IT=80 ,6087.0762,N/A,472.2810,2,27.00,22.953,1.60,N/A,N/A,N/A,211753970.8152,70201695.2932,N/A,N/A,-4.79,-0.08,-0.01,0.04,0,N/A,14641.8,0.000,N/A,N/A,N/A
259,Ref 1,831171.88,3592,0,0.0,27.0,1.0156503,100.0-865.0,nan,FTMS + p NSI d Full ms2 414.7136@hcd27.00 [100.0000-865.0000],On,1,64.675,N/A,HigherEnergyCollisionalDissociation,MassAnalyzerFTMS,Any,110.0715465,N/A,N/A,N/A,N/A,IT=65 ,200875.72,N/A,414.7136,2,27.00,20.155,1.60,N/A,N/A,N/A,211753954.8188,70201684.6813,N/A,N/A,-4.79,-0.08,-0.04,0.04,0,N/A,76832.7,0.000,N/A,N/A,N/A
