Scan Number,RAW File,Total Ion Current,Total Number of Peaks,Number of Channels,Frequency,Collision Energy,Retention Time (min),Mass Ranges,Precursor Intensity,Scan Description,AGC,Micro Scan Count,Ion Injection Time (ms),Elapsed Scan Time (sec),Activation Type,Mass Analyzer Type,Detector Type,Base Peak Mass,Average Scan by Inst,Orbitrap Resolution,API Process Delay,Dependency Type,Multi Inject Info,Base Peak Intensity,Master Scan Number,Monoisotopic M/Z,Charge State,HCD Energy,HCD Energy eV,MS2 Isolation Width,Access ID,Conversion Parameter I,Conversion Parameter A,Conversion Parameter B,Conversion Parameter C,Conversion Parameter D,Conversion Parameter E,Temperature Comp. (ppm),RF Comp. (ppm),Space Charge Comp. (ppm),Resolution Comp. (ppm),Number of LM Found,LM Correction (ppm),RawOvFtT,Injection t0,Reagent Ion Injection Time (ms),FAIMS Voltage On,FAIMS CV
260,Ref 1,51067.891,1464,0,0.0,27.0,1.0174629,100.0-855.0,nan,FTMS + p NSI d Full ms2 410.7350@hcd27.00 [100.0000-855.0000],On,1,80.000,N/A,HigherEnergyCollisionalDissociation,MassAnalyzerFTMS,Any,175.1190394,N/A,N/A,N/A,N/A,IT=80 ,7027.814,N/A,410.7350,2,27.00,19.962,1.60,N/A,N/A,N/A,211753970.0701,70201694.8035,N/A,N/A,-4.79,-0.08,-0.01,0.04,0,N/A,12931.5,0.000,N/A,N/A,N/A
274,Ref 1,69563.453,1448,0,0.0,27.0,1.070102,100.0-940.0,nan,FTMS + p NSI d Full ms2 452.2355@hcd27.00 [100.0000-940.0000],On,1,80.000,N/A,HigherEnergyCollisionalDissociation,MassAnalyzerFTMS,Any,129.1020569,N/A,N/A,N/A,N/A,IT=80 ,10660.618,N/A,452.2355,2,27.00,21.979,1.60,N/A,N/A,N/A,211753969.9838,70201694.7367,N/A,N/A,-4.79,-0.08,-0.01,0.04,0,N/A,13293.2,0.000,N/A,N/A,N/A
386,Ref 1,866329.38,3392,0,0.0,27.0,1.5205698,100.0-865.0,nan,FTMS + p NSI d Full ms2 414.7134@hcd27.00 [100.0000-865.0000],On,1,62.668,N/A,HigherEnergyCollisionalDissociation,MassAnalyzerFTMS,Any,110.0715015,N/A,N/A,N/A,N/A,IT=63 ,229596.66,N/A,414.7134,2,27.00,20.155,1.60,N/A,N/A,N/A,211753955.1864,70201684.9211,N/A,N/A,-4.79,-0.08,-0.04,0.04,0,N/A,75292.5,0.000,N/A,N/A,N/A
387,Ref 1,64695.906,1672,0,0.0,27.0,1.5223823,100.0-855.0,nan,FTMS + p NSI d Full ms2 410.7346@hcd27.00 [100.0000-855.0000],On,1,80.000,N/A,HigherEnergyCollisionalDissociation,MassAnalyzerFTMS,Any,175.1190103,N/A,N/A,N/A,N/A,IT=80 ,7969.2739,N/A,410.7346,2,27.00,19.962,1.60,N/A,N/A,N/A,211753970.0982,70201694.8163,N/A,N/A,-4.79,-0.08,-0.01,0.04,0,N/A,12813.8,0.000,N/A,N/A,N/A
403,Ref 1,65667.836,1444,0,0.0,27.0,1.5834319,100.0-940.0,nan,FTMS + p NSI d Full ms2 452.2356@hcd27.00 [100.0000-940.0000],On,1,80.000,N/A,HigherEnergyCollisionalDissociation,MassAnalyzerFTMS,Any,234.1456611,N/A,N/A,N/A,N/A,IT=80 ,10643.501,N/A,452.2356,2,27.00,21.979,1.60,N/A,N/A,N/A,211753969.4342,70201694.3812,N/A,N/A,-4.79,-0.08,-0.01,0.04,0,N/A,15596.0,0.000,N/A,N/A,N/A
512,Ref 1,923613.5,4508,0,0.0,27.0,2.022356,100.0-865.0,nan,FTMS + p NSI d Full ms2 414.7136@hcd27.00 [100.0000-865.0000],On,1,80.000,N/A,HigherEnergyCollisionalDissociation,MassAnalyzerFTMS,Any,110.0714673,N/A,N/A,N/A,N/A,IT=80 ,226963.05,N/A,414.7136,2,27.00,20.155,1.60,N/A,N/A,N/A,211753947.9635,70201680.1374,N/A,N/A,-4.79,-0.08,-0.06,0.04,0,N/A,99237.7,0.000,N/A,N/A,N/A
514,Ref 1,77216.312,1788,0,0.0,27.0,2.026581,100.0-855.0,nan,FTMS + p NSI d Full ms2 410.7350@hcd27.00 [100.0000-855.0000],On,1,80.000,N/A,HigherEnergyCollisionalDissociation,MassAnalyzerFTMS,Any,175.1198388,N/A,N/A,N/A,N/A,IT=80 ,8919.1533,N/A,410.7350,2,27.00,19.962,1.60,N/A,N/A,N/A,211753968.4863,70201693.7444,N/A,N/A,-4.79,-0.08,-0.01,0.04,0,N/A,13249.7,0.000,N/A,N/A,N/A
530,Ref 1,67449.281,1448,0,0.0,27.0,2.0877348,100.0-940.0,nan,FTMS + p NSI d Full ms2 452.2358@hcd27.00 [100.0000-940.0000],On,1,80.000,N/A,HigherEnergyCollisionalDissociation,MassAnalyzerFTMS,Any,234.144769,N/A,N/A,N/A,N/A,IT=80 ,12583.938,N/A,452.2358,2,27.00,21.979,1.60,N/A,N/A,N/A,211753968.0042,70201693.4286,N/A,N/A,-4.79,-0.08,-0.01,0.04,0,N/A,15269.7,0.000,N/A,N/A,N/A
639,Ref 1,1024330.6,3532,0,0.0,27.0,2.5262902,100.0-865.0,nan,FTMS + p NSI d Full ms2 414.7135@hcd27.00 [100.0000-865.0000],On,1,48.161,N/A,HigherEnergyCollisionalDissociation,MassAnalyzerFTMS,Any,110.0714541,N/A,N/A,N/A,N/A,IT=48 ,276024.5,N/A,414.7135,2,27.00,20.155,1.60,N/A,N/A,N/A,211753954.2604,70201684.3159,N/A,N/A,-4.79,-0.08,-0.04,0.04,0,N/A,72854.4,0.000,N/A,N/A,N/A
641,Ref 1,63774.477,1552,0,0.0,27.0,2.5305172,100.0-855.0,nan,FTMS + p NSI d Full ms2 410.7349@hcd27.00 [100.0000-855.0000],On,1,80.000,N/A,HigherEnergyCollisionalDissociation,MassAnalyzerFTMS,Any,175.1195102,N/A,N/A,N/A,N/A,IT=80 ,8245.0234,N/A,410.7349,2,27.00,19.962,1.60,N/A,N/A,N/A,211753968.4891,70201693.7419,N/A,N/A,-4.79,-0.08,-0.01,0.04,0,N/A,13238.0,0.000,N/A,N/A,N/A
657,Ref 1,55838.492,1340,0,0.0,27.0,2.5938168,100.0-940.0,nan,FTMS + p NSI d Full ms2 452.2356@hcd27.00 [100.0000-940.0000],On,1,80.000,N/A,HigherEnergyCollisionalDissociation,MassAnalyzerFTMS,Any,129.1018214,N/A,N/A,N/A,N/A,IT=80 ,8210.0947,N/A,452.2356,2,27.00,21.979,1.60,N/A,N/A,N/A,211753968.4234,70201693.7062,N/A,N/A,-4.79,-0.08,-0.01,0.04,0,N/A,13513.2,0.000,N/A,N/A,N/A
765,Ref 1,880976.81,3372,0,0.0,27.0,3.0283139,100.0-865.0,nan,FTMS + p NSI d Full ms2 414.7136@hcd27.00 [100.0000-865.0000],On,1,53.555,N/A,HigherEnergyCollisionalDissociation,MassAnalyzerFTMS,Any,110.0714411,N/A,N/A,N/A,N/A,IT=54 ,240438.44,N/A,414.7136,2,27.00,20.155,1.60,N/A,N/A,N/A,211753953.6967,70201683.9383,N/A,N/A,-4.79,-0.08,-0.04,0.04,0,N/A,70199.8,0.000,N/A,N/A,N/A
767,Ref 1,75276.773,1740,0,0.0,27.0,3.0326868,100.0-855.0,nan,FTMS + p NSI d Full ms2 410.7348@hcd27.00 [100.0000-855.0000],On,1,80.000,N/A,HigherEnergyCollisionalDissociation,MassAnalyzerFTMS,Any,175.1194091,N/A,N/A,N/A,N/A,IT=80 ,11054.508,N/A,410.7348,2,27.00,19.962,1.60,N/A,N/A,N/A,211753967.1115,70201692.8344,N/A,N/A,-4.79,-0.08,-0.01,0.04,0,N/A,13993.3,0.000,N/A,N/A,N/A
783,Ref 1,64878.688,1396,0,0.0,27.0,3.0936864,100.0-940.0,nan,FTMS + p NSI d Full ms2 452.2357@hcd27.00 [100.0000-940.0000],On,1,80.000,N/A,HigherEnergyCollisionalDissociation,MassAnalyzerFTMS,Any,129.1022374,N/A,N/A,N/A,N/A,IT=80 ,11600.055,N/A,452.2357,2,27.00,21.979,1.60,N/A,N/A,N/A,211753966.9213,70201692.7124,N/A,N/A,-4.79,-0.08,-0.01,0.04,0,N/A,14790.3,0.000,N/A,N/A,N/A
892,Ref 1,885364.62,4012,0,0.0,27.0,3.532398,100.0-865.0,nan,FTMS + p NSI d Full ms2 414.7136@hcd27.00 [100.0000-865.0000],On,1,72.334,N/A,HigherEnergyCollisionalDissociation,MassAnalyzerFTMS,Any,110.0714801,N/A,N/A,N/A,N/A,IT=72 ,230613.45,N/A,414.7136,2,27.00,20.155,1.60,N/A,N/A,N/A,211753949.3207,70201681.0416,N/A,N/A,-4.79,-0.08,-0.05,0.04,0,N/A,88534.5,0.000,N/A,N/A,N/A
894,Ref 1,71530.562,1608,0,0.0,27.0,3.5366897,100.0-855.0,nan,FTMS + p NSI d Full ms2 410.7350@hcd27.00 [100.0000-855.0000],On,1,80.000,N/A,HigherEnergyCollisionalDissociation,MassAnalyzerFTMS,Any,175.1190058,N/A,N/A,N/A,N/A,IT=80 ,11015.572,N/A,410.7350,2,27.00,19.962,1.60,N/A,N/A,N/A,211753967.3207,70201692.9662,N/A,N/A,-4.79,-0.08,-0.01,0.04,0,N/A,13117.0,0.000,N/A,N/A,N/A
910,Ref 1,67015.359,1484,0,0.0,27.0,3.5978164,100.0-940.0,nan,FTMS + p NSI d Full ms2 452.2358@hcd27.00 [100.0000-940.0000],On,1,80.000,N/A,HigherEnergyCollisionalDissociation,MassAnalyzerFTMS,Any,234.1451124,N/A,N/A,N/A,N/A,IT=80 ,9868.7324,N/A,452.2358,2,27.00,21.979,1.60,N/A,N/A,N/A,211753966.5219,70201692.4517,N/A,N/A,-4.79,-0.08,-0.01,0.04,0,N/A,16463.7,0.000,N/A,N/A,N/A
1018,Ref 1,907860.88,3860,0,0.0,27.0,4.0339218,100.0-865.0,nan,FTMS + p NSI d Full ms2 414.7136@hcd27.00 [100.0000-865.0000],On,1,67.200,N/A,HigherEnergyCollisionalDissociation,MassAnalyzerFTMS,Any,110.0714672,N/A,N/A,N/A,N/A,IT=67 ,231836.19,N/A,414.7136,2,27.00,20.155,1.60,N/A,N/A,N/A,211753949.2847,70201681.0262,N/A,N/A,-4.80,-0.08,-0.05,0.04,0,N/A,83589.7,0.000,N/A,N/A,N/A
1020,Ref 1,88129.68,1760,0,0.0,27.0,4.0382093,100.0-855.0,nan,FTMS + p NSI d Full ms2 410.7350@hcd27.00 [100.0000-855.0000],On,1,80.000,N/A,HigherEnergyCollisionalDissociation,MassAnalyzerFTMS,Any,175.1182439,N/A,N/A,N/A,N/A,IT=80 ,9795.3125,N/A,410.7350,2,27.00,19.962,1.60,N/A,N/A,N/A,211753965.2694,70201691.6100,N/A,N/A,-4.80,-0.08,-0.01,0.04,0,N/A,16615.7,0.000,N/A,N/A,N/A
1036,Ref 1,53725.555,1244,0,0.0,27.0,4.0995088,100.0-940.0,nan,FTMS + p NSI d Full ms2 452.2356@hcd27.00 [100.0000-940.0000],On,1,80.000,N/A,HigherEnergyCollisionalDissociation,MassAnalyzerFTMS,Any,670.3260118,N/A,N/A,N/A,N/A,IT=80 ,8989.4424,N/A,452.2356,2,27.00,21.979,1.60,N/A,N/A,N/A,211753966.1405,70201692.1900,N/A,N/A,-4.80,-0.08,-0.01,0.04,0,N/A,12966.2,0.000,N/A,N/A,N/A
1144,Ref 1,948137.06,4096,0,0.0,27.0,4.5358705,100.0-865.0,nan,FTMS + p NSI d Full ms2 414.7137@hcd27.00 [100.0000-865.0000],On,1,69.901,N/A,HigherEnergyCollisionalDissociation,MassAnalyzerFTMS,Any,110.0714607,N/A,N/A,N/A,N/A,IT=70 ,234465.95,N/A,414.7137,2,27.00,20.155,1.60,N/A,N/A,N/A,211753947.7466,70201679.9962,N/A,N/A,-4.80,-0.08,-0.05,0.04,0,N/A,90034.2,0.000,N/A,N/A,N/A
1146,Ref 1,84019.062,1672,0,0.0,27.0,4.5400705,100.0-855.0,nan,FTMS + p NSI d Full ms2 410.7350@hcd27.00 [100.0000-855.0000],On,1,80.000,N/A,HigherEnergyCollisionalDissociation,MassAnalyzerFTMS,Any,175.1189488,N/A,N/A,N/A,N/A,IT=80 ,10651.288,N/A,410.7350,2,27.00,19.962,1.60,N/A,N/A,N/A,211753965.0512,70201691.4718,N/A,N/A,-4.80,-0.08,-0.01,0.04,0,N/A,17530.1,0.000,N/A,N/A,N/A
1162,Ref 1,54090.766,1300,0,0.0,27.0,4.6013034,100.0-940.0,nan,FTMS + p NSI d Full ms2 452.2357@hcd27.00 [100.0000-940.0000],On,1,80.000,N/A,HigherEnergyCollisionalDissociation,MassAnalyzerFTMS,Any,234.1450768,N/A,N/A,N/A,N/A,IT=80 ,9497.9199,N/A,452.2357,2,27.00,21.979,1.60,N/A,N/A,N/A,211753966.2149,70201692.2424,N/A,N/A,-4.80,-0.08,-0.01,0.04,0,N/A,12654.2,0.000,N/A,N/A,N/A
1270,Ref 1,1047852.4,4188,0,0.0,27.0,5.0374984,100.0-865.0,nan,FTMS + p NSI d Full ms2 414.7135@hcd27.00 [100.0000-865.0000],On,1,58.282,N/A,HigherEnergyCollisionalDissociation,MassAnalyzerFTMS,Any,110.0714367,N/A,N/A,N/A,N/A,IT=58 ,263426.34,N/A,414.7135,2,27.00,20.155,1.60,N/A,N/A,N/A,211753947.6517,70201679.9474,N/A,N/A,-4.80,-0.08,-0.05,0.04,0,N/A,85577.3,0.000,N/A,N/A,N/A
1272,Ref 1,121419.13,2148,0,0.0,27.0,5.041686,100.0-855.0,nan,FTMS + p NSI d Full ms2 410.7349@hcd27.00 [100.0000-855.0000],On,1,80.000,N/A,HigherEnergyCollisionalDissociation,MassAnalyzerFTMS,Any,175.1190662,N/A,N/A,N/A,N/A,IT=80 ,14668.253,N/A,410.7349,2,27.00,19.962,1.60,N/A,N/A,N/A,211753963.6143,70201690.5169,N/A,N/A,-4.80,-0.08,-0.01,0.04,0,N/A,18696.0,0.000,N/A,N/A,N/A
1288,Ref 1,60034.188,1308,0,0.0,27.0,5.1031459,100.0-940.0,nan,FTMS + p NSI d Full ms2 452.2355@hcd27.00 [100.0000-940.0000],On,1,80.000,N/A,HigherEnergyCollisionalDissociation,MassAnalyzerFTMS,Any,234.1443068,N/A,N/A,N/A,N/A,IT=80 ,10457.922,N/A,452.2355,2,27.00,21.979,1.60,N/A,N/A,N/A,211753965.1004,70201691.5054,N/A,N/A,-4.80,-0.08,-0.01,0.04,0,N/A,12469.7,0.000,N/A,N/A,N/A
1297,Ref 1,58685.023,1240,0,0.0,27.0,5.1360311,100.0-1185.0,nan,FTMS + p NSI d Full ms2 570.3235@hcd27.00 [100.0000-1185.0000],On,1,80.000,N/A,HigherEnergyCollisionalDissociation,MassAnalyzerFTMS,Any,570.3248845,N/A,N/A,N/A,N/A,IT=80 ,13220.42,N/A,0.0000,2,27.00,27.718,1.60,N/A,N/A,N/A,211753964.6048,70201691.1747,N/A,N/A,-4.80,-0.08,-0.01,0.04,0,N/A,14546.1,0.000,N/A,N/A,N/A
1338,Ref 1,81542.727,1292,0,0.0,27.0,5.2996904,100.0-840.0,nan,FTMS + p NSI d Full ms2 402.2455@hcd27.00 [100.0000-840.0000],On,1,80.000,N/A,HigherEnergyCollisionalDissociation,MassAnalyzerFTMS,Any,402.2434151,N/A,N/A,N/A,N/A,IT=80 ,37871.141,N/A,0.0000,2,27.00,19.549,1.60,N/A,N/A,N/A,211753964.4557,70201691.0732,N/A,N/A,-4.80,-0.08,-0.01,0.04,0,N/A,15171.0,0.000,N/A,N/A,N/A
1398,Ref 1,1162479.8,4468,0,0.0,27.0,5.5409409,100.0-865.0,nan,FTMS + p NSI d Full ms2 414.7137@hcd27.00 [100.0000-865.0000],On,1,63.715,N/A,HigherEnergyCollisionalDissociation,MassAnalyzerFTMS,Any,110.0713811,N/A,N/A,N/A,N/A,IT=64 ,275628.81,N/A,414.7137,2,27.00,20.155,1.60,N/A,N/A,N/A,211753944.3658,70201677.7554,N/A,N/A,-4.80,-0.08,-0.06,0.04,0,N/A,99344.9,0.000,N/A,N/A,N/A
1400,Ref 1,166731.84,2480,0,0.0,27.0,5.5453554,100.0-855.0,nan,FTMS + p NSI d Full ms2 410.7351@hcd27.00 [100.0000-855.0000],On,1,80.000,N/A,HigherEnergyCollisionalDissociation,MassAnalyzerFTMS,Any,175.1187562,N/A,N/A,N/A,N/A,IT=80 ,17587.221,N/A,410.7351,2,27.00,19.962,1.60,N/A,N/A,N/A,211753962.2882,70201689.6403,N/A,N/A,-4.80,-0.08,-0.01,0.04,0,N/A,24252.5,0.000,N/A,N/A,N/A
1416,Ref 1,67485.883,1216,0,0.0,27.0,5.6072571,100.0-940.0,nan,FTMS + p NSI d Full ms2 452.2357@hcd27.00 [100.0000-940.0000],On,1,80.000,N/A,HigherEnergyCollisionalDissociation,MassAnalyzerFTMS,Any,234.1443014,N/A,N/A,N/A,N/A,IT=80 ,12480.15,N/A,0.0000,2,27.00,21.979,1.60,N/A,N/A,N/A,211753964.3420,70201690.9974,N/A,N/A,-4.80,-0.08,-0.01,0.04,0,N/A,15647.4,0.000,N/A,N/A,N/A
1483,Ref 1,119256.75,1516,0,0.0,27.0,5.8792595,100.0-1335.0,nan,FTMS + p NSI d Full ms2 429.4052@hcd27.00 [100.0000-1335.0000],On,1,80.000,N/A,HigherEnergyCollisionalDissociation,MassAnalyzerFTMS,Any,359.0279277,N/A,N/A,N/A,N/A,IT=80 ,52076.66,N/A,0.0000,3,27.00,19.710,1.60,N/A,N/A,N/A,211753962.1910,70201689.5700,N/A,N/A,-4.80,-0.08,-0.01,0.04,0,N/A,19333.3,0.000,N/A,N/A,N/A
1524,Ref 1,1386001.9,4020,0,0.0,27.0,6.0432563,100.0-865.0,nan,FTMS + p NSI d Full ms2 414.7141@hcd27.00 [100.0000-865.0000],On,1,43.875,N/A,HigherEnergyCollisionalDissociation,MassAnalyzerFTMS,Any,110.0714228,N/A,N/A,N/A,N/A,IT=44 ,384527.28,N/A,414.7141,2,27.00,20.155,1.60,N/A,N/A,N/A,211753946.6758,70201679.2910,N/A,N/A,-4.80,-0.08,-0.05,0.04,0,N/A,84340.1,0.000,N/A,N/A,N/A
1526,Ref 1,244639.34,2696,0,0.0,27.0,6.0474438,100.0-855.0,nan,FTMS + p NSI d Full ms2 410.7355@hcd27.00 [100.0000-855.0000],On,1,80.000,N/A,HigherEnergyCollisionalDissociation,MassAnalyzerFTMS,Any,410.7344858,N/A,N/A,N/A,N/A,IT=80 ,33859.906,N/A,410.7355,2,27.00,19.962,1.60,N/A,N/A,N/A,211753959.4686,70201687.7590,N/A,N/A,-4.80,-0.08,-0.02,0.04,0,N/A,30739.8,0.000,N/A,N/A,N/A
1543,Ref 1,67873.453,1552,0,0.0,27.0,6.1132558,100.0-940.0,nan,FTMS + p NSI d Full ms2 452.2369@hcd27.00 [100.0000-940.0000],On,1,80.000,N/A,HigherEnergyCollisionalDissociation,MassAnalyzerFTMS,Any,129.1022567,N/A,N/A,N/A,N/A,IT=80 ,9889.7266,N/A,0.0000,2,27.00,21.979,1.60,N/A,N/A,N/A,211753963.4851,70201690.4428,N/A,N/A,-4.80,-0.08,-0.01,0.04,0,N/A,13911.4,0.000,N/A,N/A,N/A
1650,Ref 1,1237876.8,4304,0,0.0,27.0,6.5449425,100.0-865.0,nan,FTMS + p NSI d Full ms2 414.7140@hcd27.00 [100.0000-865.0000],On,1,59.219,N/A,HigherEnergyCollisionalDissociation,MassAnalyzerFTMS,Any,110.0715111,N/A,N/A,N/A,N/A,IT=59 ,312333.25,N/A,414.7140,2,27.00,20.155,1.60,N/A,N/A,N/A,211753943.1442,70201676.9482,N/A,N/A,-4.80,-0.08,-0.06,0.04,0,N/A,99137.2,0.000,N/A,N/A,N/A
1652,Ref 1,260532.7,2872,0,0.0,27.0,6.5491071,100.0-855.0,nan,FTMS + p NSI d Full ms2 410.7355@hcd27.00 [100.0000-855.0000],On,1,80.000,N/A,HigherEnergyCollisionalDissociation,MassAnalyzerFTMS,Any,410.7358142,N/A,N/A,N/A,N/A,IT=80 ,36617.938,N/A,410.7355,2,27.00,19.962,1.60,N/A,N/A,N/A,211753958.9657,70201687.4397,N/A,N/A,-4.80,-0.08,-0.02,0.04,0,N/A,32847.0,0.000,N/A,N/A,N/A
1670,Ref 1,129752.14,1468,0,0.0,27.0,6.618517,100.0-1335.0,nan,FTMS + p NSI d Full ms2 429.4050@hcd27.00 [100.0000-1335.0000],On,1,80.000,N/A,HigherEnergyCollisionalDissociation,MassAnalyzerFTMS,Any,359.0277095,N/A,N/A,N/A,N/A,IT=80 ,56322.145,N/A,0.0000,3,27.00,19.710,1.60,N/A,N/A,N/A,211753961.7053,70201689.2494,N/A,N/A,-4.80,-0.08,-0.01,0.04,0,N/A,21368.6,0.000,N/A,N/A,N/A
1777,Ref 1,284612.69,2564,0,0.0,27.0,7.04951,100.0-865.0,nan,FTMS + p NSI d Full ms2 414.7139@hcd27.00 [100.0000-865.0000],On,1,80.000,N/A,HigherEnergyCollisionalDissociation,MassAnalyzerFTMS,Any,110.0714656,N/A,N/A,N/A,N/A,IT=80 ,71609.164,N/A,414.7139,2,27.00,20.155,1.60,N/A,N/A,N/A,211753956.6576,70201685.9012,N/A,N/A,-4.81,-0.08,-0.02,0.04,0,N/A,37897.2,0.000,N/A,N/A,N/A
