Scan Number,RAW File,Ion Injection Time (ms),Total Number of Peaks,Total Ion Current,Retention Time (s),Base Peak Intensity,Base Peak Mass,Multi Inject Info,Multiple Injection
1,Ref 2,50.000,82196,36122152.0,0.0028413945,1868128.4,391.2847665,IT=25;25 ,ii
5,Ref 2,33.636,68852,35529676.0,0.012676844,1929221.2,391.2836144,IT=17;17 ,ii
6,Ref 2,15.433,49428,43171828.0,0.016341326,2577204.8,391.2836507,IT=7.7;7.7 ,ii
7,Ref 2,18.816,50024,33379912.0,0.020535125,1809696.4,391.2836193,IT=9.4;9.4 ,ii
8,Ref 2,15.667,46648,38984648.0,0.024614228,2494962.0,391.2836321,IT=7.8;7.8 ,ii
9,Ref 2,14.498,44664,36431532.0,0.028724676,2146310.0,391.283702,IT=7.2;7.2 ,ii
10,Ref 2,35.410,70780,37634732.0,0.033099577,1998918.2,391.2835886,IT=18;18 ,ii
11,Ref 2,16.752,47268,33006106.0,0.036762108,1945888.5,391.2836613,IT=8.4;8.4 ,ii
12,Ref 2,23.569,57608,36229276.0,0.040924558,2021767.2,391.2836125,IT=12;12 ,ii
13,Ref 2,22.058,57684,36161824.0,0.04498706,1906185.5,391.2835073,IT=11;11 ,ii
14,Ref 2,17.336,49720,35057424.0,0.048976558,2024240.9,391.283672,IT=8.7;8.7 ,ii
15,Ref 2,18.551,51648,39031932.0,0.052880761,2254010.5,391.2835881,IT=9.3;9.3 ,ii
16,Ref 2,28.103,58460,31752162.0,0.057101509,1639109.6,391.2834952,IT=14;14 ,ii
17,Ref 2,15.188,47456,39742128.0,0.06099736,2385623.5,391.283547,IT=7.6;7.6 ,ii
18,Ref 2,21.079,50848,30302620.0,0.065128542,1667467.4,391.2835574,IT=11;11 ,ii
19,Ref 2,20.812,53264,33124324.0,0.069028542,1686939.0,391.2834369,IT=10;10 ,ii
20,Ref 2,36.590,70772,34381684.0,0.073363925,1872057.9,391.2834927,IT=18;18 ,ii
21,Ref 2,17.450,52164,39212424.0,0.077207575,2263237.0,391.2834744,IT=8.7;8.7 ,ii
22,Ref 2,23.131,55000,33392350.0,0.081357627,1677283.5,391.2834457,IT=12;12 ,ii
23,Ref 2,18.594,53576,40559388.0,0.085203458,2325665.0,391.2834051,IT=9.3;9.3 ,ii
24,Ref 2,27.540,62308,35352212.0,0.089411661,1985229.2,391.2834701,IT=14;14 ,ii
25,Ref 2,18.962,50932,33995376.0,0.093382475,1887561.1,391.2835655,IT=9.5;9.5 ,ii
26,Ref 2,18.959,48072,30318796.0,0.097451259,1701435.8,391.283639,IT=9.5;9.5 ,ii
27,Ref 2,17.826,51572,36590920.0,0.10132626,2133344.8,391.2835869,IT=8.9;8.9 ,ii
28,Ref 2,25.674,61060,38065408.0,0.10551791,2078305.9,391.2834629,IT=13;13 ,ii
29,Ref 2,21.504,58452,39220280.0,0.10954489,2202975.5,391.2834378,IT=11;11 ,ii
30,Ref 2,18.295,49912,34664160.0,0.11356574,2076217.8,391.2835227,IT=9.1;9.1 ,ii
31,Ref 2,26.700,62232,37493664.0,0.11759689,1988815.8,391.2834832,IT=13;13 ,ii
32,Ref 2,14.076,39248,28514300.0,0.12149069,1642248.1,391.2836783,IT=7;7 ,ii
33,Ref 2,22.928,57540,36402492.0,0.12564479,2064579.4,391.2833852,IT=11;11 ,ii
34,Ref 2,25.433,60144,36497924.0,0.12976147,1919548.6,391.2834536,IT=13;13 ,ii
35,Ref 2,22.700,54776,29996704.0,0.13365094,1545528.8,391.2835306,IT=11;11 ,ii
36,Ref 2,24.035,59228,35258884.0,0.13774896,1999990.4,391.283402,IT=12;12 ,ii
