Scan Number,RAW File,Total Ion Current,Total Number of Peaks,Number of Channels,Frequency,Collision Energy,Retention Time (min),Mass Ranges,Precursor Intensity,Scan Description,AGC,Micro Scan Count,Ion Injection Time (ms),Elapsed Scan Time (sec),Activation Type,Mass Analyzer Type,Detector Type,Base Peak Mass,Average Scan by Inst,Orbitrap Resolution,API Process Delay,Dependency Type,Multi Inject Info,Base Peak Intensity,Master Scan Number,Monoisotopic M/Z,Charge State,HCD Energy,HCD Energy eV,MS2 Isolation Width,Access ID,Conversion Parameter I,Conversion Parameter A,Conversion Parameter B,Conversion Parameter C,Conversion Parameter D,Conversion Parameter E,Temperature Comp. (ppm),RF Comp. (ppm),Space Charge Comp. (ppm),Resolution Comp. (ppm),Number of LM Found,LM Correction (ppm),RawOvFtT,Injection t0,Reagent Ion Injection Time (ms),FAIMS Voltage On,FAIMS CV
7045,Ref 2,1748838.2,8476,0,0.0,27.0,20.961504,100.0-765.0,nan,FTMS + p NSI d Full ms2 364.7185@hcd27.00 [100.0000-765.0000],On,1,73.488,N/A,HigherEnergyCollisionalDissociation,MassAnalyzerFTMS,Any,129.1022062,N/A,N/A,N/A,N/A,IT=73 ,174153.77,N/A,364.7185,2,27.00,17.725,1.60,N/A,N/A,N/A,211753881.0774,70201635.7991,N/A,N/A,-4.91,-0.08,-0.09,0.04,0,N/A,168456.9,0.000,N/A,N/A,N/A
7046,Ref 2,463183.62,3664,0,0.0,27.0,20.963333,100.0-1200.0,nan,FTMS + p NSI d Full ms2 577.8123@hcd27.00 [100.0000-1200.0000],On,1,80.000,N/A,HigherEnergyCollisionalDissociation,MassAnalyzerFTMS,Any,110.0714501,N/A,N/A,N/A,N/A,IT=80 ,120116.89,N/A,577.8123,2,27.00,28.082,1.60,N/A,N/A,N/A,211753909.4349,70201654.5901,N/A,N/A,-4.91,-0.08,-0.03,0.04,0,N/A,49642.7,0.000,N/A,N/A,N/A
7047,Ref 2,670537.75,4896,0,0.0,27.0,20.964994,100.0-1105.0,nan,FTMS + p NSI d Full ms2 532.2405@hcd27.00 [100.0000-1105.0000],On,1,69.807,N/A,HigherEnergyCollisionalDissociation,MassAnalyzerFTMS,Any,131.1178941,N/A,N/A,N/A,N/A,IT=70 ,58870.812,N/A,532.2398,2,27.00,25.867,1.60,N/A,N/A,N/A,211753906.1323,70201652.4065,N/A,N/A,-4.91,-0.08,-0.04,0.04,0,N/A,63480.2,0.000,N/A,N/A,N/A
7049,Ref 2,380593.41,3488,0,0.0,27.0,20.968613,100.0-1295.0,nan,FTMS + p NSI d Full ms2 626.2623@hcd27.00 [100.0000-1295.0000],On,1,80.000,N/A,HigherEnergyCollisionalDissociation,MassAnalyzerFTMS,Any,245.0766647,N/A,N/A,N/A,N/A,IT=80 ,27164.328,N/A,626.2623,2,27.00,30.436,1.60,N/A,N/A,N/A,211753910.7382,70201655.4556,N/A,N/A,-4.91,-0.08,-0.02,0.04,0,N/A,44182.1,0.000,N/A,N/A,N/A
7050,Ref 2,254110.5,2844,0,0.0,27.0,20.970441,100.0-1190.0,nan,FTMS + p NSI d Full ms2 574.2555@hcd27.00 [100.0000-1190.0000],On,1,80.000,N/A,HigherEnergyCollisionalDissociation,MassAnalyzerFTMS,Any,574.3155658,N/A,N/A,N/A,N/A,IT=80 ,27608.221,N/A,574.2555,2,27.00,27.909,1.60,N/A,N/A,N/A,211753913.6943,70201657.4239,N/A,N/A,-4.91,-0.08,-0.02,0.04,0,N/A,31796.4,0.000,N/A,N/A,N/A
7051,Ref 2,533553.44,4848,0,0.0,27.0,20.972271,100.0-1160.0,nan,FTMS + p NSI d Full ms2 558.3195@hcd27.00 [100.0000-1160.0000],On,1,80.000,N/A,HigherEnergyCollisionalDissociation,MassAnalyzerFTMS,Any,558.3055577,N/A,N/A,N/A,N/A,IT=80 ,51383.199,N/A,558.3195,2,27.00,27.134,1.60,N/A,N/A,N/A,211753907.0351,70201652.9970,N/A,N/A,-4.91,-0.08,-0.03,0.04,0,N/A,59697.6,0.000,N/A,N/A,N/A
7052,Ref 2,570161.88,3520,0,0.0,27.0,20.974098,100.0-1800.0,nan,FTMS + p NSI d Full ms2 581.6083@hcd27.00 [100.0000-1800.0000],On,1,80.000,N/A,HigherEnergyCollisionalDissociation,MassAnalyzerFTMS,Any,581.3034311,N/A,N/A,N/A,N/A,IT=80 ,157327.11,N/A,581.6084,3,27.00,26.696,1.60,N/A,N/A,N/A,211753906.0793,70201652.3750,N/A,N/A,-4.91,-0.08,-0.04,0.04,0,N/A,63702.3,-0.020,N/A,N/A,N/A
7053,Ref 2,300421.22,3092,0,0.0,27.0,20.975927,100.0-1110.0,nan,FTMS + p NSI d Full ms2 535.2559@hcd27.00 [100.0000-1110.0000],On,1,80.000,N/A,HigherEnergyCollisionalDissociation,MassAnalyzerFTMS,Any,136.0756417,N/A,N/A,N/A,N/A,IT=80 ,64550.488,N/A,535.2558,2,27.00,26.013,1.60,N/A,N/A,N/A,211753912.1755,70201656.4107,N/A,N/A,-4.91,-0.08,-0.02,0.04,0,N/A,38159.9,0.000,N/A,N/A,N/A
7054,Ref 2,182655.5,2156,0,0.0,27.0,20.977756,100.0-1270.0,nan,FTMS + p NSI d Full ms2 612.3266@hcd27.00 [100.0000-1270.0000],On,1,80.000,N/A,HigherEnergyCollisionalDissociation,MassAnalyzerFTMS,Any,129.1021551,N/A,N/A,N/A,N/A,IT=80 ,64244.027,N/A,611.8256,2,27.00,29.759,1.60,N/A,N/A,N/A,211753915.4205,70201658.5579,N/A,N/A,-4.91,-0.08,-0.01,0.04,0,N/A,24563.9,0.000,N/A,N/A,N/A
7055,Ref 2,710454.12,5912,0,0.0,27.0,20.979569,100.0-880.0,nan,FTMS + p NSI d Full ms2 422.2325@hcd27.00 [100.0000-880.0000],On,1,80.000,N/A,HigherEnergyCollisionalDissociation,MassAnalyzerFTMS,Any,422.2121329,N/A,N/A,N/A,N/A,IT=80 ,48039.922,N/A,0.0000,2,27.00,20.520,1.60,N/A,N/A,N/A,211753902.7651,70201650.1736,N/A,N/A,-4.91,-0.08,-0.04,0.04,0,N/A,77588.4,0.000,N/A,N/A,N/A
