Scan Number,RAW File,Total Ion Current,Total Number of Peaks,Number of Channels,Frequency,Collision Energy,Retention Time (s),Mass Ranges,Precursor Intensity,Scan Description,AGC,Micro Scan Count,Ion Injection Time (ms),Elapsed Scan Time (sec),Activation Type,Mass Analyzer Type,Detector Type,Base Peak Mass,Average Scan by Inst,Orbitrap Resolution,API Process Delay,Dependency Type,Multi Inject Info,Base Peak Intensity,Master Scan Number,Monoisotopic M/Z,Charge State,HCD Energy,HCD Energy eV,MS2 Isolation Width,Access ID,Conversion Parameter I,Conversion Parameter A,Conversion Parameter B,Conversion Parameter C,Conversion Parameter D,Conversion Parameter E,Temperature Comp. (ppm),RF Comp. (ppm),Space Charge Comp. (ppm),Resolution Comp. (ppm),Number of LM Found,LM Correction (ppm),RawOvFtT,Injection t0,Reagent Ion Injection Time (ms),FAIMS Voltage On,FAIMS CV
2,UP 2,46682.648,1160,0,0.0,27.0,0.0070918054,100.0-865.0,nan,FTMS + p NSI d Full ms2 414.7161@hcd27.00 [100.0000-865.0000],On,1,80.000,N/A,HigherEnergyCollisionalDissociation,MassAnalyzerFTMS,Any,110.071401,N/A,N/A,N/A,N/A,IT=80 ,23195.777,N/A,414.7161,2,27.00,20.155,1.60,N/A,N/A,N/A,211753749.8358,76394379.8947,N/A,N/A,-2.57,-0.08,-0.01,-0.01,0,N/A,10960.4,0.000,N/A,N/A,N/A
6,UP 2,12264.672,840,0,0.0,27.0,0.019187487,100.0-855.0,nan,FTMS + p NSI d Full ms2 410.7355@hcd27.00 [100.0000-855.0000],On,1,80.000,N/A,HigherEnergyCollisionalDissociation,MassAnalyzerFTMS,Any,305.6936584,N/A,N/A,N/A,N/A,IT=80 ,3337.5942,N/A,410.7355,2,27.00,19.962,1.60,N/A,N/A,N/A,211753749.9478,76394379.9837,N/A,N/A,-2.57,-0.08,-0.01,-0.01,0,N/A,10558.7,0.000,N/A,N/A,N/A
10,UP 2,22958.016,868,0,0.0,27.0,0.03134364,100.0-1175.0,nan,FTMS + p NSI d Full ms2 566.8893@hcd27.00 [100.0000-1175.0000],On,1,80.000,N/A,HigherEnergyCollisionalDissociation,MassAnalyzerFTMS,Any,305.7266363,N/A,N/A,N/A,N/A,IT=80 ,6446.2598,N/A,0.0000,2,27.00,27.551,1.60,N/A,N/A,N/A,211753750.0007,76394380.0236,N/A,N/A,-2.57,-0.08,-0.01,-0.01,0,N/A,10369.1,0.000,N/A,N/A,N/A
128,UP 2,51948.266,1184,0,0.0,27.0,0.51045304,100.0-865.0,nan,FTMS + p NSI d Full ms2 414.7144@hcd27.00 [100.0000-865.0000],On,1,80.000,N/A,HigherEnergyCollisionalDissociation,MassAnalyzerFTMS,Any,110.071468,N/A,N/A,N/A,N/A,IT=80 ,21315.854,N/A,414.7144,2,27.00,20.155,1.60,N/A,N/A,N/A,211753749.8582,76394379.9236,N/A,N/A,-2.57,-0.08,-0.01,-0.01,0,N/A,11756.4,0.000,N/A,N/A,N/A
132,UP 2,16725.727,900,0,0.0,27.0,0.52243412,100.0-855.0,nan,FTMS + p NSI d Full ms2 410.7354@hcd27.00 [100.0000-855.0000],On,1,80.000,N/A,HigherEnergyCollisionalDissociation,MassAnalyzerFTMS,Any,305.7040797,N/A,N/A,N/A,N/A,IT=80 ,5909.3691,N/A,410.7353,2,27.00,19.962,1.60,N/A,N/A,N/A,211753750.6802,76394380.5045,N/A,N/A,-2.57,-0.08,-0.01,-0.01,0,N/A,8808.8,0.000,N/A,N/A,N/A
253,UP 2,73192.805,1384,0,0.0,27.0,1.0111329,100.0-865.0,nan,FTMS + p NSI d Full ms2 414.7140@hcd27.00 [100.0000-865.0000],On,1,80.000,N/A,HigherEnergyCollisionalDissociation,MassAnalyzerFTMS,Any,110.0715091,N/A,N/A,N/A,N/A,IT=80 ,30872.439,N/A,414.7140,2,27.00,20.155,1.60,N/A,N/A,N/A,211753748.9493,76394379.2732,N/A,N/A,-2.57,-0.08,-0.01,-0.01,0,N/A,15015.3,0.000,N/A,N/A,N/A
257,UP 2,13518.086,808,0,0.0,27.0,1.0234787,100.0-855.0,nan,FTMS + p NSI d Full ms2 410.7353@hcd27.00 [100.0000-855.0000],On,1,80.000,N/A,HigherEnergyCollisionalDissociation,MassAnalyzerFTMS,Any,305.7260888,N/A,N/A,N/A,N/A,IT=80 ,5050.5181,N/A,410.7353,2,27.00,19.962,1.60,N/A,N/A,N/A,211753750.7698,76394380.5784,N/A,N/A,-2.57,-0.08,-0.01,-0.01,0,N/A,8487.7,0.000,N/A,N/A,N/A
306,UP 2,32462.875,1248,0,0.0,27.0,1.2185878,100.0-1175.0,nan,FTMS + p NSI d Full ms2 566.8894@hcd27.00 [100.0000-1175.0000],On,1,80.000,N/A,HigherEnergyCollisionalDissociation,MassAnalyzerFTMS,Any,305.6973804,N/A,N/A,N/A,N/A,IT=80 ,5155.8569,N/A,0.0000,2,27.00,27.551,1.60,N/A,N/A,N/A,211753750.7065,76394380.5382,N/A,N/A,-2.57,-0.08,-0.01,-0.01,0,N/A,9705.0,0.000,N/A,N/A,N/A
380,UP 2,76787.281,1492,0,0.0,27.0,1.5145962,100.0-865.0,nan,FTMS + p NSI d Full ms2 414.7141@hcd27.00 [100.0000-865.0000],On,1,80.000,N/A,HigherEnergyCollisionalDissociation,MassAnalyzerFTMS,Any,110.071338,N/A,N/A,N/A,N/A,IT=80 ,29201.857,N/A,414.7141,2,27.00,20.155,1.60,N/A,N/A,N/A,211753748.9223,76394379.2462,N/A,N/A,-2.57,-0.08,-0.01,-0.01,0,N/A,16102.4,0.000,N/A,N/A,N/A
384,UP 2,19070.133,992,0,0.0,27.0,1.5267358,100.0-855.0,nan,FTMS + p NSI d Full ms2 410.7353@hcd27.00 [100.0000-855.0000],On,1,80.000,N/A,HigherEnergyCollisionalDissociation,MassAnalyzerFTMS,Any,305.7099874,N/A,N/A,N/A,N/A,IT=80 ,5174.4736,N/A,410.7353,2,27.00,19.962,1.60,N/A,N/A,N/A,211753750.2210,76394380.1863,N/A,N/A,-2.57,-0.08,-0.01,-0.01,0,N/A,11445.6,0.000,N/A,N/A,N/A
