Scan Number,RAW File,Scan Description,AGC,Micro Scan Count,Ion Injection Time (ms),Elapsed Scan Time (sec),Average Scan by Inst,Orbitrap Resolution,API Process Delay,Dependency Type,Multi Inject Info,Master Scan Number,Monoisotopic M/Z,Charge State,HCD Energy,HCD Energy eV,MS2 Isolation Width,SPS Masses,SPS Masses Continued,Access ID,Conversion Parameter I,Conversion Parameter A,Conversion Parameter B,Conversion Parameter C,Conversion Parameter D,Conversion Parameter E,Temperature Comp. (ppm),RF Comp. (ppm),Space Charge Comp. (ppm),Resolution Comp. (ppm),Number of LM Found,LM Correction (ppm),RawOvFtT,Injection t0,Reagent Ion Injection Time (ms),FAIMS Voltage On,FAIMS CV
2,MS2_MS1_orbitrap,,Predicted,1,118.493,0.362,No,50000,-1.0,1,,28095,1005.1662,3,28.0,45.75,1.6,,,0,0.0,0.0,211804471.45581,-94283661.533592,0.0,0.0,-1.4,0.0,-0.04,-0.11,0,0.0,76166.7,0.0,0.0,No,0.0
3,MS2_MS1_orbitrap,,Predicted,1,90.344,0.209,No,50000,-1.0,1,,28095,679.0715,4,30.0,32.01,1.6,,,0,0.0,0.0,211804471.45581,-94283661.533592,0.0,0.0,-1.4,0.0,-0.04,-0.11,0,0.0,147164.0,-0.02,0.0,No,0.0
4,MS2_MS1_orbitrap,,Predicted,1,110.343,0.229,No,50000,-1.0,1,,28095,654.5806,4,30.0,30.98,1.6,,,0,0.0,0.0,211804471.45581,-94283661.533592,0.0,0.0,-1.4,0.0,-0.04,-0.11,0,0.0,78958.7,-0.02,0.0,No,0.0
6,MS2_MS1_orbitrap,,Predicted,1,2.274,0.362,No,50000,-1.0,1,,1,954.244,4,30.0,43.77,1.6,,,0,0.0,0.0,211804471.45581,-94283661.533592,0.0,0.0,-1.4,0.0,-0.04,-0.11,0,0.0,78518.8,-0.02,0.0,No,0.0
8,MS2_MS1_orbitrap,,Predicted,1,379.612,0.501,No,50000,-1.0,1,,5,605.6661,3,30.0,30.41,1.6,,,0,0.0,0.0,211804471.45581,-94283661.533592,0.0,0.0,-1.4,0.0,-0.04,-0.11,0,0.0,1021376.6,0.053,0.0,No,0.0
10,MS2_MS1_orbitrap,,Predicted,1,35.054,0.362,No,50000,-1.0,1,,7,929.8229,3,28.0,42.55,1.6,,,0,0.0,0.0,211804471.45581,-94283661.533592,0.0,0.0,-1.4,0.0,-0.04,-0.11,0,0.0,32687.0,0.0,0.0,No,0.0
12,MS2_MS1_orbitrap,,Predicted,1,45.674,0.362,No,50000,-1.0,1,,9,664.8339,4,30.0,31.4,1.6,,,0,0.0,0.0,211804471.45581,-94283661.533592,0.0,0.0,-1.4,0.0,-0.04,-0.11,0,0.0,367428.8,0.021,0.0,No,0.0
13,MS2_MS1_orbitrap,,Predicted,1,254.224,0.372,No,50000,-1.0,1,,9,658.0844,4,30.0,31.11,1.6,,,0,0.0,0.0,211804471.45581,-94283661.533592,0.0,0.0,-1.4,0.0,-0.04,-0.11,0,0.0,105213.5,0.0,0.0,No,0.0
16,MS2_MS1_orbitrap,,Predicted,1,248.776,0.371,No,50000,-1.0,1,,14,867.4376,3,30.0,42.33,1.6,,,0,0.0,0.0,211804471.45581,-94283661.533592,0.0,0.0,-1.4,0.0,-0.04,-0.11,0,0.0,70709.9,0.0,0.0,No,0.0
17,MS2_MS1_orbitrap,,Predicted,1,105.448,0.224,No,50000,-1.0,1,,14,551.3119,3,30.0,27.94,1.6,,,0,0.0,0.0,211804471.45581,-94283661.533592,0.0,0.0,-1.4,0.0,-0.04,-0.11,0,0.0,668465.9,0.053,0.0,No,0.0
19,MS2_MS1_orbitrap,,Predicted,1,12.879,0.362,No,50000,-1.0,1,,15,763.5966,5,30.0,35.62,1.6,,,0,0.0,0.0,211804471.45581,-94283661.533592,0.0,0.0,-1.4,0.0,-0.04,-0.11,0,0.0,92977.4,-0.02,0.0,No,0.0
20,MS2_MS1_orbitrap,,Predicted,1,68.585,0.202,No,50000,-1.0,1,,15,748.0433,3,30.0,36.9,1.6,,,0,0.0,0.0,211804471.45581,-94283661.533592,0.0,0.0,-1.4,0.0,-0.04,-0.11,0,0.0,316136.8,0.048,0.0,No,0.0
22,MS2_MS1_orbitrap,,Predicted,1,76.111,0.361,No,50000,-1.0,1,,18,1001.798,3,28.0,45.62,1.6,,,0,0.0,0.0,211804471.45581,-94283661.533592,0.0,0.0,-1.4,0.0,-0.04,-0.11,0,0.0,212696.5,0.024,0.0,No,0.0
24,MS2_MS1_orbitrap,,Predicted,1,379.612,0.501,No,50000,-1.0,1,,21,1271.6561,3,26.0,53.43,1.6,,,0,0.0,0.0,211804471.45581,-94283661.533592,0.0,0.0,-1.4,0.0,-0.04,-0.11,0,0.0,707720.7,-0.005,0.0,No,0.0
29,MS2_MS1_orbitrap,,Predicted,1,33.743,0.361,No,50000,-1.0,1,,27,687.0227,3,30.0,34.12,1.6,,,0,0.0,0.0,211804471.45581,-94283661.533592,0.0,0.0,-1.4,0.0,-0.04,-0.11,0,0.0,95222.9,0.0,0.0,No,0.0
33,MS2_MS1_orbitrap,,Predicted,1,1.824,0.362,No,50000,-1.0,1,,31,673.0892,4,30.0,31.75,1.6,,,0,0.0,0.0,211804471.45581,-94283661.533592,0.0,0.0,-1.4,0.0,-0.04,-0.11,0,0.0,105531.8,-0.02,0.0,No,0.0
38,MS2_MS1_orbitrap,,Predicted,1,71.481,0.362,No,50000,-1.0,1,,36,1005.835,3,28.0,45.78,1.6,,,0,0.0,0.0,211804471.45581,-94283661.533592,0.0,0.0,-1.4,0.0,-0.04,-0.11,0,0.0,69102.2,-0.02,0.0,No,0.0
39,MS2_MS1_orbitrap,,Predicted,1,0.428,0.201,No,50000,-1.0,1,,36,892.7783,3,30.0,43.52,1.6,,,0,0.0,0.0,211804471.45581,-94283661.533592,0.0,0.0,-1.4,0.0,-0.04,-0.11,0,0.0,422914.1,0.037,0.0,No,0.0
40,MS2_MS1_orbitrap,,Predicted,1,88.26,0.211,No,50000,-1.0,1,,36,877.4436,3,30.0,42.79,1.6,,,0,0.0,0.0,211804471.45581,-94283661.533592,0.0,0.0,-1.4,0.0,-0.04,-0.11,0,0.0,59662.6,0.0,0.0,No,0.0
43,MS2_MS1_orbitrap,,Predicted,1,88.581,0.362,No,50000,-1.0,1,,41,872.7654,3,30.0,42.58,1.6,,,0,0.0,0.0,211804471.45581,-94283661.533592,0.0,0.0,-1.4,0.0,-0.04,-0.11,0,0.0,45587.4,0.0,0.0,No,0.0
50,MS2_MS1_orbitrap,,Predicted,1,22.816,0.362,No,50000,-1.0,1,,48,924.9831,3,28.0,42.34,1.6,,,0,0.0,0.0,211804471.45581,-94283661.533592,0.0,0.0,-1.4,0.0,-0.04,-0.11,0,0.0,35798.4,0.0,0.0,No,0.0
51,MS2_MS1_orbitrap,,Predicted,1,74.303,0.201,No,50000,-1.0,1,,48,666.0807,4,30.0,31.45,1.6,,,0,0.0,0.0,211804471.45581,-94283661.533592,0.0,0.0,-1.4,0.0,-0.04,-0.11,0,0.0,657739.6,0.061,0.0,No,0.0
53,MS2_MS1_orbitrap,,Predicted,1,34.325,0.362,No,50000,-1.0,1,,49,887.4379,3,30.0,43.25,1.6,,,0,0.0,0.0,211804471.45581,-94283661.533592,0.0,0.0,-1.4,0.0,-0.04,-0.11,0,0.0,274244.1,0.027,0.0,No,0.0
56,MS2_MS1_orbitrap,,Predicted,1,33.478,0.361,No,50000,-1.0,1,,54,927.319,3,28.0,42.44,1.6,,,0,0.0,0.0,211804471.45581,-94283661.533592,0.0,0.0,-1.4,0.0,-0.04,-0.11,0,0.0,40230.3,0.0,0.0,No,0.0
57,MS2_MS1_orbitrap,,Predicted,1,114.418,0.233,No,50000,-1.0,1,,54,658.5802,4,30.0,31.13,1.6,,,0,0.0,0.0,211804471.45581,-94283661.533592,0.0,0.0,-1.4,0.0,-0.04,-0.11,0,0.0,99924.0,-0.02,0.0,No,0.0
58,MS2_MS1_orbitrap,,Predicted,1,114.418,0.233,No,50000,-1.0,1,,54,878.1146,3,30.0,42.84,1.6,,,0,0.0,0.0,211804471.45581,-94283661.533592,0.0,0.0,-1.4,0.0,-0.04,-0.11,0,0.0,72906.9,-0.02,0.0,No,0.0
65,MS2_MS1_orbitrap,,Predicted,1,14.36,0.362,No,50000,-1.0,1,,63,929.6558,3,28.0,42.54,1.6,,,0,0.0,0.0,211804471.45581,-94283661.533592,0.0,0.0,-1.4,0.0,-0.04,-0.11,0,0.0,26407.1,0.0,0.0,No,0.0
71,MS2_MS1_orbitrap,,Predicted,1,5.277,0.361,No,50000,-1.0,1,,69,927.4877,3,28.0,42.46,1.6,,,0,0.0,0.0,211804471.45581,-94283661.533592,0.0,0.0,-1.4,0.0,-0.04,-0.11,0,0.0,38522.1,0.0,0.0,No,0.0
77,MS2_MS1_orbitrap,,Predicted,1,68.962,0.362,No,50000,-1.0,1,,75,887.1058,3,30.0,43.25,1.6,,,0,0.0,0.0,211804471.45581,-94283661.533592,0.0,0.0,-1.4,0.0,-0.04,-0.11,0,0.0,357639.5,0.032,0.0,No,0.0
79,MS2_MS1_orbitrap,,Predicted,1,379.612,0.501,No,50000,-1.0,1,,76,878.428,3,30.0,42.84,1.6,,,0,0.0,0.0,211804471.45581,-94283661.533592,0.0,0.0,-1.4,0.0,-0.04,-0.11,0,0.0,439703.3,0.046,0.0,No,0.0
81,MS2_MS1_orbitrap,,Predicted,1,9.437,0.362,No,50000,-1.0,1,,78,665.5796,4,30.0,31.43,1.6,,,0,0.0,0.0,211804471.45581,-94283661.533592,0.0,0.0,-1.4,0.0,-0.04,-0.11,0,0.0,222376.1,0.025,0.0,No,0.0
84,MS2_MS1_orbitrap,,Predicted,1,112.582,0.362,No,50000,-1.0,1,,82,1445.4515,3,26.0,60.27,1.6,,,0,0.0,0.0,211804471.45581,-94283661.533592,0.0,0.0,-1.4,0.0,-0.04,-0.11,0,0.0,260773.5,0.05,0.0,No,0.0
85,MS2_MS1_orbitrap,,Predicted,1,87.5,0.206,No,50000,-1.0,1,,82,908.1047,3,28.0,41.64,1.6,,,0,0.0,0.0,211804471.45581,-94283661.533592,0.0,0.0,-1.4,0.0,-0.04,-0.11,0,0.0,270546.2,0.02,0.0,No,0.0
88,MS2_MS1_orbitrap,,Predicted,1,2.906,0.362,No,50000,-1.0,1,,86,1084.3387,4,30.0,49.31,1.6,,,0,0.0,0.0,211804471.45581,-94283661.533592,0.0,0.0,-1.4,0.0,-0.04,-0.11,0,0.0,48415.5,0.0,0.0,No,0.0
90,MS2_MS1_orbitrap,,Predicted,1,71.475,0.361,No,50000,-1.0,1,,87,535.8699,5,28.0,24.55,1.6,,,0,0.0,0.0,211804471.45581,-94283661.533592,0.0,0.0,-1.4,0.0,-0.04,-0.11,0,0.0,167794.3,-0.046,0.0,No,0.0
92,MS2_MS1_orbitrap,,Predicted,1,12.283,0.362,No,50000,-1.0,1,,89,1084.0878,4,30.0,49.32,1.6,,,0,0.0,0.0,211804471.45581,-94283661.533592,0.0,0.0,-1.4,0.0,-0.04,-0.11,0,0.0,156080.4,0.043,0.0,No,0.0
93,MS2_MS1_orbitrap,,Predicted,1,87.5,0.206,No,50000,-1.0,1,,89,701.3819,3,30.0,34.79,1.6,,,0,0.0,0.0,211804471.45581,-94283661.533592,0.0,0.0,-1.4,0.0,-0.04,-0.11,0,0.0,265482.3,0.042,0.0,No,0.0
94,MS2_MS1_orbitrap,,Predicted,1,87.5,0.206,No,50000,-1.0,1,,89,862.108,3,30.0,42.09,1.6,,,0,0.0,0.0,211804471.45581,-94283661.533592,0.0,0.0,-1.4,0.0,-0.04,-0.11,0,0.0,223878.8,0.038,0.0,No,0.0
96,MS2_MS1_orbitrap,,Predicted,1,100.0,0.362,No,50000,-1.0,1,,91,1445.7836,3,26.0,60.29,1.6,,,0,0.0,0.0,211804471.45581,-94283661.533592,0.0,0.0,-1.4,0.0,-0.04,-0.11,0,0.0,223178.2,0.0,0.0,No,0.0
97,MS2_MS1_orbitrap,,Predicted,1,0.68,0.218,No,50000,-1.0,1,,91,669.3349,4,30.0,31.6,1.6,,,0,0.0,0.0,211804471.45581,-94283661.533592,0.0,0.0,-1.4,0.0,-0.04,-0.11,0,0.0,600756.3,0.032,0.0,No,0.0
98,MS2_MS1_orbitrap,,Predicted,1,87.5,0.21,No,50000,-1.0,1,,91,881.7769,3,30.0,43.0,1.6,,,0,0.0,0.0,211804471.45581,-94283661.533592,0.0,0.0,-1.4,0.0,-0.04,-0.11,0,0.0,154026.7,0.0,0.0,No,0.0
99,MS2_MS1_orbitrap,,Predicted,1,100.0,0.219,No,50000,-1.0,1,,91,873.4203,3,30.0,42.61,1.6,,,0,0.0,0.0,211804471.45581,-94283661.533592,0.0,0.0,-1.4,0.0,-0.04,-0.11,0,0.0,35553.3,0.0,0.0,No,0.0
103,MS2_MS1_orbitrap,,Predicted,1,18.377,0.362,No,50000,-1.0,1,,101,929.9882,3,28.0,42.57,1.6,,,0,0.0,0.0,211804471.627982,-94283661.686535,0.0,0.0,-1.4,0.0,-0.04,-0.11,0,0.0,44523.2,0.0,0.0,No,0.0
107,MS2_MS1_orbitrap,,Predicted,1,22.537,0.362,No,50000,-1.0,1,,105,734.0682,3,30.0,36.26,1.6,,,0,0.0,0.0,211804471.627982,-94283661.686535,0.0,0.0,-1.4,0.0,-0.04,-0.11,0,0.0,199636.3,0.047,0.0,No,0.0
109,MS2_MS1_orbitrap,,Predicted,1,379.612,0.501,No,50000,-1.0,1,,106,914.4769,3,28.0,41.9,1.6,,,0,0.0,0.0,211804471.627982,-94283661.686535,0.0,0.0,-1.4,0.0,-0.04,-0.11,0,0.0,151856.7,0.0,0.0,No,0.0
111,MS2_MS1_orbitrap,,Predicted,1,379.612,0.502,No,50000,-1.0,1,,108,787.4449,5,30.0,36.64,1.6,,,0,0.0,0.0,211804471.627982,-94283661.686535,0.0,0.0,-1.4,0.0,-0.04,-0.11,0,0.0,222768.2,-0.039,0.0,No,0.0
113,MS2_MS1_orbitrap,,Predicted,1,11.22,0.361,No,50000,-1.0,1,,110,897.7775,3,30.0,43.72,1.6,,,0,0.0,0.0,211804471.627982,-94283661.686535,0.0,0.0,-1.4,0.0,-0.04,-0.11,0,0.0,102739.6,0.0,0.0,No,0.0
119,MS2_MS1_orbitrap,,Predicted,1,54.31,0.362,No,50000,-1.0,1,,117,795.1331,7,28.0,34.88,1.6,,,0,0.0,0.0,211804471.627982,-94283661.686535,0.0,0.0,-1.4,0.0,-0.04,-0.11,0,0.0,53514.5,0.0,0.0,No,0.0
120,MS2_MS1_orbitrap,,Predicted,1,100.0,0.219,No,50000,-1.0,1,,117,943.4977,5,30.0,43.31,1.6,,,0,0.0,0.0,211804471.627982,-94283661.686535,0.0,0.0,-1.4,0.0,-0.04,-0.11,0,0.0,146448.1,0.0,0.0,No,0.0
121,MS2_MS1_orbitrap,,Predicted,1,87.5,0.206,No,50000,-1.0,1,,117,867.6725,5,30.0,40.06,1.6,,,0,0.0,0.0,211804471.627982,-94283661.686535,0.0,0.0,-1.4,0.0,-0.04,-0.11,0,0.0,58527.6,0.0,0.0,No,0.0
122,MS2_MS1_orbitrap,,Predicted,1,87.5,0.206,No,50000,-1.0,1,,117,1024.7271,5,30.0,46.77,1.6,,,0,0.0,0.0,211804471.627982,-94283661.686535,0.0,0.0,-1.4,0.0,-0.04,-0.11,0,0.0,68428.4,0.003,0.0,No,0.0
123,MS2_MS1_orbitrap,,Predicted,1,100.0,0.219,No,50000,-1.0,1,,117,957.0051,4,30.0,43.87,1.6,,,0,0.0,0.0,211804471.627982,-94283661.686535,0.0,0.0,-1.4,0.0,-0.04,-0.11,0,0.0,78678.1,0.0,0.0,No,0.0
125,MS2_MS1_orbitrap,,Predicted,1,29.091,0.361,No,50000,-1.0,1,,118,676.8366,4,30.0,31.91,1.6,,,0,0.0,0.0,211804471.627982,-94283661.686535,0.0,0.0,-1.4,0.0,-0.04,-0.11,0,0.0,102102.5,0.0,0.0,No,0.0
126,MS2_MS1_orbitrap,,Predicted,1,100.0,0.219,No,50000,-1.0,1,,118,710.0399,3,30.0,35.17,1.6,,,0,0.0,0.0,211804471.627982,-94283661.686535,0.0,0.0,-1.4,0.0,-0.04,-0.11,0,0.0,160554.5,0.05,0.0,No,0.0
127,MS2_MS1_orbitrap,,Predicted,1,100.0,0.218,No,50000,-1.0,1,,118,741.3957,3,30.0,36.62,1.6,,,0,0.0,0.0,211804471.627982,-94283661.686535,0.0,0.0,-1.4,0.0,-0.04,-0.11,0,0.0,138250.6,0.033,0.0,No,0.0
